t,pre,post,drop_pct,since_prev_s,recovery_s,r1_drop,r2_ping,r3_slow,anomalous
2021-11-05 23:58:20+00:00,225.73404166666668,234.18063888888886,-0.03741835816989875,1180.0,0.0,0,0,0,0
2021-11-06 00:02:00+00:00,228.94012499999997,227.20276666666666,0.007588701776647081,220.0,0.0,0,0,0,0
2021-11-06 00:22:50+00:00,225.292775,235.77409444444442,-0.046523105077135335,1250.0,0.0,0,0,0,0
2021-11-06 00:29:50+00:00,220.9909583333333,221.9262888888889,-0.004232438116969393,420.0,0.0,0,0,0,0
2021-11-06 00:39:20+00:00,218.22154999999998,210.93406111111113,0.03339490938859542,570.0,0.0,0,0,0,0
2021-11-06 00:40:40+00:00,207.13165000000004,219.30601666666666,-0.0587759845811426,80.0,0.0,0,0,0,0
2021-11-06 00:46:30+00:00,221.38000000000002,234.34029444444442,-0.05854320374218267,350.0,0.0,0,0,0,0
2021-11-06 00:49:40+00:00,230.6041666666667,226.49813333333333,0.01780554702321822,190.0,0.0,0,1,0,1
2021-11-06 01:10:30+00:00,222.55349166666667,233.26571666666666,-0.04813325964817667,1250.0,0.0,0,0,0,0
2021-11-06 01:17:10+00:00,211.63481666666667,215.83183333333332,-0.019831409277411692,400.0,0.0,0,0,0,0
2021-11-06 01:34:30+00:00,218.3615166666667,229.90466666666666,-0.052862565603172755,1040.0,0.0,0,0,0,0
2021-11-06 01:37:50+00:00,227.920175,218.9267888888889,0.0394584907242683,200.0,0.0,0,1,0,1
2021-11-06 01:58:30+00:00,227.68598333333333,239.65007777777777,-0.052546468909897504,1240.0,0.0,0,0,0,0
